סמל ועדה_x,ברזל,שם ישוב,סמל ישוב,קלפי,ריכוז,שופט,בזב,מצביעים,פסולים,כשרים,אמת,אצ,ב,ג,ד,ום,ז,זך,זנ,זץ,ט,י,יז,ינ,יץ,יק,כן,ך,ל,מחל,מרצ,נז,ני,נף,נץ,נק,נר,עם,פה,ף,צ,ץ,ק,קי,קך,קנ,קץ,רז,שס,ת,סמל ועדה_y,שם ועדה,סמל ישוב בחירות,שם ישוב בחירות,סמל קלפי,סמל רכוז,כתובת קלפי,מקום קלפי,נגישה,נגישה מיוחדת,בוחרי כנסת בפועל,Latitude,Longitude,preference,coalition_votes,opposition_votes,didnt_pass_votes,Preference,Category,Region
18,10619,אבו גווייעד שבט,967,3.1,1,0,570,173,4,169,0,0,0,0,4,21,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,2,18.0,באר שבע,967.0,אבו ג'ווייעד (שבט),3.1,1.0,"ערערה-בנגב,ערערה-בנגב","בי""ס איבן סינה - בערוער", , ,570.0,31.160927,35.019757,Opposition,9,154,6,עם,Opposition,Ar'ara Banegev
18,10620,אבו גווייעד שבט,967,3.2,1,0,570,96,1,95,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,1,18.0,באר שבע,967.0,אבו ג'ווייעד (שבט),3.2,1.0,"ערערה-בנגב,ערערה-בנגב","בי""ס איבן סינה - בערוער", , ,570.0,31.160927,35.019757,Opposition,1,93,1,עם,Opposition,Ar'ara Banegev
18,10621,אבו גווייעד שבט,967,3.3,1,0,570,169,1,168,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,150,1,0,0,0,0,0,0,0,0,0,2,0,18.0,באר שבע,967.0,אבו ג'ווייעד (שבט),3.3,1.0,"ערערה-בנגב,ערערה-בנגב","בי""ס איבן סינה - בערוער", , ,570.0,31.160927,35.019757,Opposition,2,166,0,עם,Opposition,Ar'ara Banegev
18,10622,אבו גווייעד שבט,967,3.4,1,0,569,111,3,108,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0,96,0,0,1,0,0,0,0,0,0,0,2,0,18.0,באר שבע,967.0,אבו ג'ווייעד (שבט),3.4,1.0,"ערערה-בנגב,ערערה-בנגב","בי""ס איבן סינה - בערוער", , ,569.0,31.160927,35.019757,Opposition,4,100,4,עם,Opposition,Ar'ara Banegev
2,806,אבו גוש,472,1.1,5,0,598,360,7,353,1,0,0,0,171,43,0,0,0,0,1,0,0,0,0,0,0,0,0,11,10,0,0,0,0,0,0,110,5,0,0,1,0,0,0,0,0,0,0,0,2.0,יהודה,472.0,אבו גוש,1.1,5.0,דרך השלום,"בי""ס תיכון",כ,כ,598.0,31.787919,35.0896895,Didn't Pass,12,159,182,ד,Didn't Pass,Ma'te Yehuda
2,807,אבו גוש,472,1.2,5,0,598,333,4,329,3,0,0,0,137,40,0,0,0,0,1,0,0,0,0,0,2,0,0,34,8,0,0,0,0,0,0,98,4,0,0,1,0,0,0,0,0,0,1,0,2.0,יהודה,472.0,אבו גוש,1.2,5.0,דרך השלום,"בי""ס תיכון",כ, ,598.0,31.787919,35.0896895,Opposition,36,147,146,ד,Didn't Pass,Ma'te Yehuda
2,808,אבו גוש,472,1.3,5,0,598,324,3,321,2,0,0,0,176,36,0,0,0,0,1,0,0,0,0,0,2,1,0,10,3,0,0,0,0,0,0,81,2,0,1,3,1,0,1,0,1,0,0,0,2.0,יהודה,472.0,אבו גוש,1.3,5.0,דרך השלום,"בי""ס תיכון", , ,598.0,31.787919,35.0896895,Didn't Pass,11,123,187,ד,Didn't Pass,Ma'te Yehuda
2,809,אבו גוש,472,3.0,2,0,626,350,2,348,1,0,0,0,139,33,0,0,0,0,1,0,0,0,0,0,0,0,0,46,3,0,0,0,0,0,0,118,4,0,1,0,0,0,0,0,0,0,2,0,2.0,יהודה,472.0,אבו גוש,3.0,2.0,דרך השלום,"בי""ס חטיבת ביניים",כ, ,626.0,31.787919,35.0896895,Opposition,49,156,143,ד,Didn't Pass,Ma'te Yehuda
2,810,אבו גוש,472,5.0,2,0,555,260,6,254,0,0,0,0,102,22,0,0,0,0,1,0,0,0,0,0,0,1,0,20,5,0,0,0,0,0,0,99,3,0,0,1,0,0,0,0,0,0,0,0,2.0,יהודה,472.0,אבו גוש,5.0,2.0,דרך השלום,"בי""ס חטיבת ביניים",כ, ,555.0,31.787919,35.0896895,Opposition,21,124,109,ד,Didn't Pass,Ma'te Yehuda
2,811,אבו גוש,472,6.1,4,0,542,284,4,280,1,0,0,0,140,43,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,84,1,0,0,0,0,0,0,0,0,0,0,0,2.0,יהודה,472.0,אבו גוש,6.1,4.0,"התמר,2 ","בי""ס יסודי השלום",כ,כ,542.0,31.7994735,35.1204704,Didn't Pass,9,129,142,ד,Didn't Pass,Abu Gosh
