MUNICIPAL STATUS,CODE OF LOCALITY,LOCAL AUTHORITY - HEB,DISTRICT,INDEX POPULATION 2021[1],INDEX VALUE 2021[2],RANK 2021[3],CLUSTER 2021[4],RANK 2019[3],CLUSTER 2019[4],DIFFERENCE (CLUSTER 2021 MINUS CLUSTER 2019),NAME OF LOCAL AUTHORITY
68,,נווה מדבר,6,"13,290",-2.865,1,1,1,1,0,NEVE MIDBAR
99,1192,ערערה-בנגב,6,"19,665",-2.453,2,1,2,1,0,AR'ARA-BANEGEV
99,1054,תל שבע,6,"22,122",-2.410,3,1,3,1,0,TEL SHEVA
69,,אל קסום,6,"17,242",-2.317,4,1,5,1,0,AL-KASUM
99,1059,כסיפה,6,"23,136",-2.300,5,1,4,1,0,KUSEIFE
99,1286,שגב-שלום,6,"11,819",-2.242,6,1,8,1,0,SEGEV-SHALOM
0,3797,מודיעין עילית,7,"80,989",-2.235,7,1,6,1,0,MODI'IN ILLIT
99,1303,חורה,6,"23,919",-2.220,8,1,7,1,0,HURA
99,1060,לקיה,6,"15,274",-1.996,9,2,9,1,1,LAQYE
0,3780,ביתר עילית,7,"63,205",-1.920,10,2,10,1,1,BETAR ILLIT
0,1161,רהט,6,"76,059",-1.845,11,2,11,1,1,RAHAT
99,3660,עמנואל,7,"4,362",-1.739,12,2,12,2,0,IMMANU'EL
99,922,רכסים,3,"13,732",-1.709,13,2,13,2,0,REKHASIM
0,6100,בני ברק,5,"211,165",-1.627,14,2,14,2,0,BENE BERAQ
0,2610,בית שמש,1,"141,554",-1.485,15,2,18,2,0,BET SHEMESH
99,510,כפר מנדא,2,"21,056",-1.453,16,2,16,2,0,KAFAR MANDA
0,1309,אלעד,4,"49,586",-1.452,17,2,19,2,0,EL'AD
99,541,ג'סר א-זרקא,3,"15,259",-1.448,18,2,15,2,0,JISR AZ-ZARQA
99,511,עילוט,2,"8,648",-1.404,19,2,17,2,0,ILUT
0,8000,צפת,2,"37,449",-1.351,20,2,23,2,0,ZEFAT
0,2710,אום אל-פחם,3,"57,579",-1.266,21,2,20,2,0,UMM AL-FAHM
99,46,יבנאל,2,"4,447",-1.236,22,2,28,2,0,YAVNE'EL
65,,אל - בטוף,2,"8,403",-1.227,23,2,21,2,0,AL-BATOF
99,998,ביר אל-מכסור,2,"9,954",-1.203,24,2,22,2,0,BIR EL-MAKSUR
0,3000,ירושלים,1,"963,859",-1.196,25,2,31,2,0,JERUSALEM
99,1137,קריית יערים,1,"6,389",-1.174,26,2,26,2,0,QIRYAT YE'ARIM
99,520,משהד,2,"8,649",-1.127,27,3,24,2,1,MESHHED
99,532,עין מאהל,2,"13,744",-1.103,28,3,25,2,1,EIN MAHEL
99,509,כפר כנא,2,"23,510",-1.064,29,3,32,2,1,KAFAR KANNA
99,482,בועיינה-נוג'ידאת,2,"10,133",-1.063,30,3,34,2,1,BU'EINE-NUJEIDAT
99,1327,מעלה עירון,3,"15,627",-1.058,31,3,27,2,1,MA'ALE IRON
99,975,זרזיר,2,"8,402",-1.043,32,3,35,2,1,ZARZIR
99,522,נחף,2,"13,538",-1.014,33,3,29,2,1,NAHEF
99,542,ריינה,2,"19,211",-1.013,34,3,39,3,0,REINE
99,538,שעב,2,"7,373",-1.004,35,3,30,2,1,SHA'AB
99,483,בענה,2,"8,529",-0.987,36,3,36,2,1,BI'NE
99,4501,ע'ג'ר,2,"2,742",-0.985,37,3,40,3,0,GHAJAR
99,1326,"בסמ""ה",3,"10,476",-0.959,38,3,33,2,1,BASMA
99,627,ג'לג'וליה,4,"10,350",-0.947,39,3,41,3,0,JALJULYE
99,99,מצפה רמון,6,"5,175",-0.922,40,3,59,3,0,MIZPE RAMON
99,4203,מסעדה,2,"3,811",-0.919,41,3,37,2,1,MAS'ADE
99,3611,קריית ארבע,7,"7,496",-0.905,42,3,46,3,0,QIRYAT ARBA
99,978,כעביה-טבאש-חג'אג'רה,2,"5,728",-0.901,43,3,44,3,0,KA'ABIYYE-TABBASH-HAJAJRE
99,499,יפיע,2,"19,520",-0.893,44,3,47,3,0,YAFI
99,944,בסמת טבעון,2,"8,061",-0.885,45,3,48,3,0,BASMAT TAB'UN
99,4001,בוקעאתא,2,"6,747",-0.884,46,3,38,3,0,BUQ'ATA
0,2560,ערד,6,"27,484",-0.876,47,3,70,3,0,ARAD
99,962,טובא-זנגרייה,2,"6,991",-0.867,48,3,43,3,0,TUBA-ZANGARIYYE
99,4502,עין קנייא,2,"2,172",-0.817,49,3,52,3,0,EIN QINIYYE
99,1292,ג'דיידה-מכר,2,"21,475",-0.809,50,3,50,3,0,JUDEIDE-MAKER
99,498,טורעאן,2,"14,642",-0.803,51,3,54,3,0,TUR'AN
